"image","xmin","ymin","xmax","ymax","label"
"DoNothing_10_0.jpg",1254.314381270903,785.4727722772278,1354.9163879598661,851.7698019801982,"Scissors"
"DoNothing_10_0.jpg",1297.123745819398,853.9084158415842,1434.1137123745818,943.7301980198021,"Scissors"
"DoNothing_10_0.jpg",1402.0066889632105,721.3143564356436,1534.715719063545,772.6410891089109,"Scissors"
"DoNothing_10_0.jpg",1235.0501672240803,684.9579207920792,1357.056856187291,738.4232673267327,"Scissors"
"DoNothing_10_0.jpg",1314.247491638796,642.1856435643565,1423.411371237458,682.8193069306931,"Scissors"
"DoNothing_10_0.jpg",1190.1003344481612,653.9240506329114,1280.0000000000007,683.9585474370223,"Tweezers"
"DoNothing_10_0.jpg",1117.148176851646,592.869461639018,1196.1887128836745,621.6228378875346,"Tweezers"
"DoNothing_10_0.jpg",1167.751490908586,615.1898734177215,1273.7375062555611,646.3485428049595,"Scissors"
"DoNothing_10_0.jpg",1154.8719869050267,634.2023921918266,1277.0254288534252,661.158669387238,"Scissors"
"DoNothing_10_1.jpg",1254.314381270903,785.4727722772278,1354.9163879598661,851.7698019801982,"Scissors"
"DoNothing_10_1.jpg",1297.123745819398,853.9084158415842,1434.1137123745818,943.7301980198021,"Scissors"
"DoNothing_10_1.jpg",1402.0066889632105,721.3143564356436,1534.715719063545,772.6410891089109,"Scissors"
"DoNothing_10_1.jpg",1235.0501672240803,684.9579207920792,1357.056856187291,738.4232673267327,"Scissors"
"DoNothing_10_1.jpg",1314.247491638796,642.1856435643565,1423.411371237458,682.8193069306931,"Scissors"
"DoNothing_10_1.jpg",1190.1003344481612,653.9240506329114,1280.0000000000007,683.9585474370223,"Tweezers"
"DoNothing_10_1.jpg",1117.148176851646,592.869461639018,1196.1887128836745,621.6228378875346,"Tweezers"
"DoNothing_10_1.jpg",1167.751490908586,615.1898734177215,1273.7375062555611,646.3485428049595,"Scissors"
"DoNothing_10_1.jpg",1154.8719869050267,634.2023921918266,1277.0254288534252,661.158669387238,"Scissors"
"DoNothing_10_10.jpg",1254.314381270903,785.4727722772278,1354.9163879598661,851.7698019801982,"Scissors"
